timestamp, ax, ay, az, gx, gy, gz
0, 4011, -12704, 6428, 976, -2564, 1336
10, 3986, -12628, 6173, 879, -2584, 1503
20, 3538, -12753, 6249, 213, -2490, 1704
30, 3533, -12794, 6173, 29, -2510, 1736
40, 3545, -12664, 6071, -107, -2532, 1696
50, 3594, -12539, 5987, -291, -2548, 1534
60, 3704, -12551, 6010, -232, -2474, 1500
70, 3742, -12550, 6041, -66, -2334, 1498
80, 3689, -12571, 6242, 455, -2054, 1473
90, 3638, -12612, 6385, 831, -1943, 1467
100, 3456, -12526, 6337, 1549, -1745, 1338
110, 3515, -12428, 6296, 1662, -1577, 1293
120, 3504, -12396, 6403, 1513, -1317, 1252
130, 3401, -12465, 6613, 1283, -1053, 1214
140, 3233, -12577, 6839, 961, -795, 1237
150, 3020, -12661, 6886, 871, -785, 1242
160, 2950, -12753, 6870, 794, -777, 1260
170, 2720, -12806, 6803, 906, -693, 1242
180, 2590, -12728, 6664, 951, -558, 1233
190, 2369, -12672, 6570, 842, -484, 1176
200, 2113, -12496, 6385, 592, -509, 1095
210, 1746, -12182, 6015, -23, -577, 1207
220, 1497, -11934, 5825, -403, -493, 1280
230, 1248, -11545, 5485, -707, -513, 1369
240, 1042, -11014, 4351, -1073, -548, 1601
250, 352, -10161, 3806, -2310, -383, 2588
260, -13, -9928, 3464, -2825, -219, 3359
270, -262, -9927, 3239, -2954, 38, 4108
280, -710, -9769, 2583, -2158, 899, 5031
290, -918, -9176, 1871, -1451, 1232, 5294
300, -856, -8393, 1212, -901, 1428, 5673
310, -83, -7943, 1687, 225, 2289, 6790
320, 20, -8398, 2443, 1650, 3289, 7428
330, -121, -8653, 3161, 3428, 4263, 7791
340, -1234, -8530, 4117, 5750, 3872, 7409
350, -1450, -8538, 4446, 5743, 2292, 7049
360, -1023, -8657, 4514, 5213, -144, 6605
370, 625, -8360, 3560, 3930, -7349, 4890
380, 2364, -7988, 2235, 3781, -11648, 4107
390, 4520, -8057, 935, 3706, -15887, 3561
400, 6649, -8439, 322, 3871, -19454, 3118
410, 6354, -9054, 2718, 6048, -24780, 1884
420, 3746, -9615, 4242, 8848, -27917, 2014
430, 1662, -11232, 4700, 12300, -31351, 3563
440, 1617, -17058, 3395, 15083, -32766, 7306
450, 2801, -20058, 3293, 13466, -32766, 7883
460, 5827, -22979, 4283, 11214, -32767, 8879
470, 10963, -24811, 1260, 9913, -32766, 10495
480, 17506, -23059, 230, 13726, -32766, 13110
490, 16623, -25704, 1763, 25084, -32767, 17017
500, 14551, -27997, 1320, 32546, -32037, 21961
510, 11198, -23869, 400, 32727, 1192, 19678
520, 4584, -18361, 7625, 25260, 22871, 9643
530, -8992, -14875, 25625, 3893, 32408, -3254
540, -25118, -8281, 32764, -1816, 21024, -9216
550, -18674, -3945, 32764, 10430, -244, -2711
560, -11019, -1088, 22893, 17728, -20059, 961
570, 4727, -25, -5577, 11281, -18468, 11997
580, 3464, -1487, -549, 7117, -13911, 12196
590, 4238, -4717, 6476, 7297, -14007, 9800
600, 5626, -4514, 5665, 9987, -16351, 6838
610, 5630, -3082, 3308, 11311, -17995, 3571
620, 9773, -1410, 1268, 9249, -14718, 3162
630, 13777, -2928, -672, 6129, -9640, 5344
640, 17152, -6982, 140, -205, -2447, 7066
650, 18201, -13190, 7694, -7700, 4991, 6671
660, 13717, -23276, 22348, -10964, 12481, 227
670, 12337, -23455, 22200, -8233, 8748, -6993
680, 20609, -28062, 25504, -4681, 1897, -15158
690, 32748, -32764, 32764, 1118, 2079, -25573
700, 32748, -32764, 32764, 501, 14742, -28466
710, 32748, -26792, 32764, -2952, 26851, -27370
720, -14700, 4791, 32764, 6761, 13749, -32767
730, -11546, 14043, 17792, 19634, 1778, -32766
740, 11063, 13195, -7434, 26301, -5078, -32767
750, 32748, 7187, -19874, 25844, -4063, -32767
760, 20346, 25120, -3277, 26224, 6043, -32762
770, -32764, 32748, 2686, 27685, 14220, -23372
780, -32764, 32748, -21385, 18970, 19832, 18516
790, 17871, -32764, 22717, -30448, 9665, 31245
800, 28266, -32764, 32764, -31931, 18317, 12032
810, 29235, -32764, 32764, -9297, 12370, -7391
820, 32748, 4719, 23788, 32433, 4358, -26454
830, 20250, 31936, 17450, 25219, 7525, -30873
840, 16205, 32748, 22146, 10450, 7896, -20908
850, 7190, 14075, 2902, -11190, 6378, 6312
860, 6230, -529, -5146, -18289, 7638, 9002
870, 6519, -8742, -3326, -20110, 12082, 6611
880, 4135, -13432, 4085, -16923, 18735, 3395
890, -2118, -13122, 19822, -9042, 28687, 738
900, -5148, -12706, 25706, -5570, 25994, -1821
910, -6860, -10951, 25940, -2321, 19158, -4451
920, -5727, -6821, 24282, -1342, 7544, -5563
930, -4155, -2609, 21466, 316, 4475, -4372
940, -3145, 747, 17008, 2490, 2162, -2814
950, -676, 2494, 13661, 125, 1594, 534
960, 531, -114, 15169, -3995, 2429, 2304
970, 3043, -3501, 17400, -7771, 3483, 4114
980, 4592, -6253, 18828, -9012, 4016, 4678
990, 1753, -7979, 15808, -5839, 878, 2479
