timestamp, ax, ay, az, gx, gy, gz
0,-8124,11847,5318,9893,8506,9728
10,-7986,12042,-7550,10159,16147,10834
20,-5316,11819,-4326,5675,14541,11018
30,-3856,10955,-1117,3453,11424,9347
40,-4712,9786,-104,3615,9310,6952
50,-7837,9915,5349,4793,12330,5348
60,-8135,11415,694,6388,24782,7905
70,-5942,13448,-2473,4369,32583,12641
80,-2876,15214,-9003,-1141,32766,16672
90,-5961,20393,-13327,-17797,32347,15381
100,-6576,16064,-6347,-21561,17073,13977
110,-3485,8363,-4771,-18373,-7833,13558
120,-7978,11386,-5338,-13868,-5701,16204
130,-10289,11150,-1845,-12191,-4264,19331
140,-10510,13593,-1883,-9202,-1810,23439
150,-8810,14545,-1982,-7779,5717,27250
160,-10948,11773,-1345,-6583,24431,29830
170,-7871,9289,-9915,-6175,29476,31670
180,-1834,5933,-2134,-11398,5078,30046
190,-599,4828,-6322,-9239,-5076,28572
200,-1700,5120,-9058,-8824,-8428,27764
210,104,4709,-5743,-11420,-7242,28405
220,2468,9249,-3992,-14348,-6679,23905
230,5000,11378,-2438,-14990,-6749,19344
240,8888,12756,922,-15184,-6106,13509
250,10634,8902,1377,-13096,-267,-1286
260,11899,8484,1461,-13099,512,-8619
270,10493,9382,1677,-13565,-407,-16277
280,7497,14874,2463,-14409,-1359,-22996
290,-8472,32748,-5197,-13065,-3814,-11021
300,-4195,32748,-3559,-15440,-10534,6494
310,6360,31736,1232,-18291,-16940,23542
320,24182,9101,2177,-12638,-18390,21004
330,18259,4655,1492,-9146,-19052,6261
340,9060,6429,-3119,-5751,-20826,-5796
350,3370,11964,-3411,-4880,-24614,-10806
360,47,16044,-2328,-5171,-25705,-7291
370,209,14517,-3076,-5301,-23366,-4983
380,177,12657,-3793,-6121,-21468,-4267
390,-200,11829,-4536,-7646,-21077,-4464
400,2158,13838,-2347,-13371,-21281,-3735
410,2672,14773,-2036,-16605,-18477,-3481
420,3335,16159,-3035,-24679,-12542,-2269
430,3734,16603,-959,-29225,-13585,-978
440,2645,16680,2769,-32232,-16700,744
450,6857,15940,22068,-21006,-25707,1474
460,2164,16278,8233,-5094,-28646,-1207
470,-342,16008,17,5633,-31770,-2253
480,191,14354,-1999,13520,-32766,-1796
490,4053,14380,-3843,28755,-31294,3232
500,9123,19532,-8071,29115,-19541,9240
510,15692,27279,-10586,21397,-5306,15611
