timestamp, ax, ay, az, gx, gy, gz
0,-14076,-9570,-1329,-3805,17004,-1163
10,-15414,-10227,-146,-5134,16573,-1679
20,-15701,-10939,1569,-5784,14986,-2532
30,-14254,-11978,2990,-4842,14115,-3348
40,-12334,-12523,4949,-4396,14377,-3450
50,-8747,-11743,5642,-3176,15592,-4008
60,-7708,-10902,3859,-1821,18881,-5522
70,-11362,-11058,1018,-2398,21355,-7256
80,-13144,-10530,1035,-2676,19962,-7055
90,-13937,-9862,-1589,-2388,19786,-6908
100,-15962,-9959,-2238,-3029,20299,-7030
110,-16817,-10939,3027,-6000,7691,-2285
120,-14950,-9802,3485,-5553,4938,-2764
130,-14561,-9198,2570,-5206,3990,-2831
140,-14215,-8897,1952,-5176,3866,-2536
150,-13336,-8567,897,-5284,4315,-1996
160,-12375,-8561,903,-5406,4016,-1939
170,-11370,-8797,1578,-5556,3372,-1849
180,-9650,-8978,2595,-6118,3883,-1212
190,-9122,-8721,3101,-6349,3858,-1144
200,-8729,-8580,4668,-6400,3667,-1210
210,-9849,-8125,6487,-4500,3347,-1652
220,-10603,-8554,6138,-2790,3707,-1622
230,-10108,-9947,3961,-1007,4014,-853
240,-8952,-9886,4014,1223,3173,-253
250,-7565,-9713,5214,2134,1382,145
260,-6810,-9887,6335,3090,-1224,102
270,-6681,-8993,10351,4986,-5580,-578
280,-6948,-7607,11816,6811,-6578,-470
290,-7304,-6215,10560,9125,-7876,-597
300,-11259,-8759,7190,13243,-9696,-838
310,-12570,-11273,4695,14632,-10257,-444
320,-14954,-13882,1081,15645,-11001,-281
330,-17685,-16100,-2076,16981,-12864,-389
340,-20939,-19073,3702,17548,-13419,-914
350,-21680,-20587,5903,17807,-10232,24
360,-22699,-23593,6568,19466,-7965,735
370,-22740,-29348,5387,21596,-7959,637
380,-21834,-29027,3897,21154,-11048,-891
390,-22536,-29229,4472,19694,-16352,-3306
400,-26531,-28299,6198,18129,-20402,-2767
410,-26274,-26764,9492,12426,-17598,-798
420,-25916,-26042,8833,11437,-13736,503
430,-28581,-25443,7734,11290,-13168,1467
440,-20737,-21353,7992,8556,-15080,5426
450,-17838,-19052,3397,6712,-17644,5549
460,-15647,-15159,3860,-947,-23599,6827
470,-11989,-13341,4299,-2044,-25874,6675
480,-7774,-12099,3610,-2519,-27337,5722
490,-3438,-10784,5182,-2951,-28047,4916
500,2106,-5954,1657,-158,-18784,4205
510,3389,-2523,-1363,-322,-13678,4355
520,3059,-841,-1888,-2239,-10852,3297
530,8227,2885,-2737,-3860,-2460,1818
540,10691,3216,-3363,-3728,1635,264
550,12631,4300,-3268,-3572,4587,-1656
560,9222,6990,-4588,-2900,7202,-3149
570,3599,7217,-3970,-3149,11472,-3436
580,-1486,6364,-3002,-4150,12920,-2023
590,-4542,3782,-1384,-5452,13744,-906
600,-4664,-869,1918,-6523,14949,-261
610,-3332,-5815,9767,-5949,17016,-32
620,-4537,-6457,14511,-4515,15882,-251
630,-9367,-6574,18078,-1862,13114,-265
640,-16147,-3497,21579,11260,229,4102
650,-6666,-3748,21158,18365,-5623,7444
660,5273,-12378,359,21855,-3561,7373
670,4113,-25734,-19735,15571,11321,-536
680,-7572,-32764,274,2093,11019,-1522
690,-24779,-32217,-15708,1343,27043,-6878
700,-31205,-22897,-14492,1791,22417,-10507
710,-29766,-15196,-11161,-5389,17699,-11129
720,-25319,-13209,-7501,-7436,11187,-8640
730,-21782,-18343,-766,-10387,13213,-7324
740,-25692,-23400,9012,-15239,25093,-9593
750,-32225,-25991,16390,-18365,32574,-10528
760,-32764,-23331,5809,-14256,21341,-8500
770,-32764,-20478,4039,-15997,20800,-8087
780,-32764,-17970,2519,-16357,20778,-6592
790,-32442,-16855,-679,-16196,15766,-5659
800,-25007,-13233,5040,-21760,521,-4953
810,-18718,-13128,10847,-23297,-5736,-3880
820,-12166,-12925,15479,-22079,-8540,-2769
830,1277,-9925,11973,-15657,-7547,-702
840,6308,-10047,11058,-14461,-5643,-1507
850,4427,-9227,7048,-11268,-4331,-3460
860,-285,-2107,-105,-5961,-2886,-4777
870,-2290,2756,-755,-5006,-1382,-4758
880,-2880,4934,3599,-5610,1624,-3883
890,-5228,3219,8474,-5318,6043,-2535
900,586,-3798,3582,10118,-140,2941
910,204,-3356,1674,11838,-880,2117
920,-126,-1708,-1704,12376,-7239,1402
930,314,-1481,-1684,11567,-12444,1043
940,873,-3212,556,10112,-18204,319
950,-150,-5981,3844,8717,-22868,-663
960,-9238,-13930,8772,12563,-28579,-2857
970,-20032,-23512,12910,17694,-24602,-4381
980,-26246,-32718,16083,22979,-12022,-2829
990,-26532,-32764,9777,31161,1130,3255
1000,-30296,-32764,6115,32223,78,1882
1010,-32487,-32764,2195,31708,112,519
1020,-32764,-29464,-4162,26020,-7738,1503
1030,-30156,-24630,5552,18306,-12640,3122
1040,-32348,-21450,5579,13145,-13146,3849
1050,-32017,-20757,7498,7353,-14344,5870
1060,-26715,-23508,7214,-223,-18031,6216
1070,-22122,-23417,10487,-3324,-23400,5698
1080,-17295,-21379,11781,-3738,-27813,4746
1090,-17441,-21012,8288,-3237,-27653,3581
1100,-14569,-18145,2426,-5824,-25295,5438
1110,-11215,-14629,-1728,-6154,-24252,7119
1120,5471,-5842,-333,-6242,-20152,8783
1130,12211,-1649,-829,-3996,-16132,5926
1140,15876,1732,-874,-2651,-11233,2492
1150,22424,6557,-3064,-1473,2928,-380
1160,18771,8315,-6183,-1207,9211,-2495
1170,12977,9063,-7481,-1712,13060,-4439
1180,7053,9204,-7633,-2731,15817,-5095
1190,-2152,3895,-5019,-5171,17133,-4520
1200,-4225,-640,-1805,-6178,16538,-4146
1210,-5630,-3641,1579,-6624,15489,-3962
1220,-6926,-6778,12181,-6311,11338,-3141
1230,-10531,-8416,18533,-5119,7851,-2764
1240,-16050,-10220,26197,-2826,4344,-2054
1250,-20205,-8388,29005,2685,1273,51
1260,-10685,-347,22358,20510,-9341,6533
1270,-2767,-1797,7649,24224,-7755,6906
1280,1579,-10569,-19710,23039,3015,6272
1290,752,-28862,-25787,6500,4308,2508
1300,-8076,-32764,-2671,-8221,4318,1137
1310,-15535,-32764,-1,-8792,11863,-351
1320,-28760,-25279,-10499,-827,22143,-7481
1330,-26064,-18669,-10835,-5238,21761,-6089
1340,-18384,-16310,-8377,-6364,10792,-2156
1350,-19239,-20955,-3496,-13097,13030,-6614
1360,-23282,-26103,358,-18753,24382,-10036
1370,-28253,-28902,11654,-22623,31789,-11668
1380,-31463,-25818,12563,-15861,15757,-11129
1390,-30840,-22181,4113,-14366,9198,-9106
1400,-28217,-18402,3802,-16078,9916,-5952
1410,-23056,-16280,10216,-15107,13287,-3957
1420,-21627,-12927,9309,-14582,10458,-4589
1430,-17707,-9048,10377,-15952,4401,-4471
1440,-13251,-7320,11659,-17352,-2245,-4700
1450,-4118,-6718,10105,-15551,-6188,-4824
1460,-2359,-5868,6520,-13640,-2335,-4187
1470,-1871,-4759,6183,-12483,-609,-4037
1480,-1353,-2239,4016,-11194,1906,-4047
1490,-851,-371,3879,-10398,1830,-4068
1500,-1647,645,6335,-9143,4794,-2864
1510,-5040,-978,10186,-7013,9012,-1512
1520,-4100,-440,9348,2989,11072,3209
1530,-2580,828,7359,6354,7914,4925
1540,-219,73,5580,8038,4196,5469
1550,1025,-3778,5630,12086,-3703,3409
1560,1167,-2255,3378,13883,-6579,2386
1570,724,-2716,1131,13866,-10632,1147
1580,-1218,-6112,1988,12095,-21317,-966
1590,-4437,-10050,2542,11841,-26509,-1792
1600,-11509,-16165,2222,13075,-31062,-2573
1610,-25946,-32764,9179,17127,-25597,-596
1620,-23765,-32764,12661,20500,-15936,2914
1630,-23431,-32764,13353,24978,-9409,4140
1640,-27444,-32764,8354,28323,-4939,3481
1650,-23614,-32764,4165,32692,47,4198
1660,-20923,-32764,-2143,32566,-1196,4518
1670,-21152,-28795,1706,28121,-2937,3081
