timestamp, ax, ay, az, gx, gy, gz
0, -4899, -8108, 17872, 1494, -20249, 8184
10, -8093, -8086, 14383, 1842, -17746, 10544
20, -8224, -8038, 10784, 1600, -14357, 11300
30, -9043, -6544, 10766, 3530, -5340, 7683
40, -7904, -4489, 9019, 3349, -2528, 6500
50, -4179, -1952, 5981, 2688, -1756, 5718
60, -3488, -60, 5277, 1347, -2623, 4675
70, -2077, 227, 2163, -816, -4743, 3288
80, 1776, -617, 1933, -1328, -6002, 3894
90, 3833, -2788, 3213, -237, -4616, 3796
100, 2511, -1280, 52, 5747, 403, 1321
110, 1731, -151, 1359, 4961, -155, 685
120, 6227, -781, 3672, 4796, -6964, 4994
130, 11195, -3148, 6384, 6442, -3636, 7237
140, 15201, -2777, 6881, 7590, -3290, 7983
150, 18306, -625, 4573, 3562, -3930, 2750
160, 16347, -4986, 14540, -1841, -6259, -2998
170, 6260, -4673, 23585, -4468, -9974, -7026
180, 4414, -9624, 32764, -969, -20418, 1193
190, 12615, -14836, 32764, 2788, -22800, 10583
200, 13638, -18098, 31260, 6512, -23870, 18992
210, 18548, -21010, 30509, 8459, -25555, 24725
220, 28113, -22755, 32764, 3674, -23937, 19554
230, 14704, -19059, 32764, 3497, -18984, 9425
240, 8535, -5665, 31422, 6156, -12031, 4297
250, 10017, -7218, 26065, 5972, -8750, 3486
260, 11710, -6947, 20685, 5272, -6842, 1811
270, 8378, -2412, 16660, 1090, -4110, -3710
280, 7527, -788, 15764, -111, -4444, -5442
290, 5202, 217, 13997, 281, -6207, -7413
300, 2829, 554, 12146, 954, -8582, -8810
310, -1616, 746, 8908, 410, -16731, -8621
320, -3170, 107, 8220, -1044, -23430, -7560
330, -4594, -357, 6396, -2470, -30757, -6610
340, -2897, 186, 333, -5785, -32766, -7069
350, -250, -2611, 1503, -5745, -32767, -9495
360, 3819, 2131, -7734, 388, -32766, -10716
370, -5519, 2623, -11436, 7524, -32767, -8013
380, -6409, -4763, -8643, 3835, -29379, 82
390, -3444, -14211, 1887, -1930, -10226, 8876
400, -1191, -11123, 2306, -1094, 6786, 9706
410, 3238, 190, -332, -5739, 7080, -1426
420, 4912, -271, 990, -10768, 4749, -5316
430, 5435, -3782, 2681, -13079, 4585, -7187
440, 11597, -3565, -2685, -11438, 3400, -8933
450, 15780, -2411, -4392, -13531, 5489, -11043
460, 20588, -1874, -5368, -17661, 11950, -13750
470, 32748, -6777, -18533, -27769, 31909, -22791
480, 31645, -4476, -12947, -30585, 32736, -30639
490, 2150, 7260, 2226, -25915, 26528, -28254
500, 16480, -7096, 32764, -31375, -4031, 11188
510, 32748, -22965, 32764, -20941, -12843, 31740
520, 32748, -27891, 32764, 2574, -12190, 32766
530, 32748, -28171, 14159, 27437, -8672, 32766
540, 32748, -29807, 4597, 22547, -12315, 12646
550, 29449, -22036, 3879, 10364, -8331, 371
560, 25626, -14872, 8674, 2494, -317, -3958
570, 18713, -7720, 17445, -1159, 7581, -5269
580, 12566, -7137, 17750, -1169, 4466, -6657
590, 8405, -7471, 17318, -1093, 1114, -6851
600, 6546, -6533, 14272, 20, -317, -5454
610, 5270, -4852, 9127, -807, 989, -3389
620, 4189, -4374, 6103, -2605, 2605, -2645
630, 4303, -3964, 3632, -5347, 3652, -1460
640, 3011, -1149, -559, -13298, 2381, -829
650, 2348, -1575, -676, -18170, 1155, -1565
660, 1990, -366, -293, -22856, 1161, -2608
670, -662, 534, 3341, -25626, 2157, -3219
680, -4727, 5599, 5844, -14965, -2195, 3077
690, -1924, 4200, 7028, -12211, 2100, 8424
700, -21, 4539, -804, -5138, 5989, 14958
710, 5876, 3690, -2919, -5182, 4394, 14738
720, 8820, 3068, -5944, -5133, 5247, 12376
730, 10252, 924, -5378, -4906, 6498, 8034
740, 12066, -3007, 1101, 1972, 4701, -1997
750, 13303, -3765, 770, 10274, 2896, -6198
760, 15957, -4978, -839, 19151, 877, -9968
770, 27327, -8863, 2224, 27338, -215, -13260
780, 32705, -22764, 7175, 32765, 7056, -30342
790, 22758, -28677, 13430, 32766, 10141, -32765
800, -626, -32385, 18848, 32766, 1041, -32766
810, 6020, -2895, 31318, 32765, -32734, -32766
820, 22926, 19764, 25356, 32766, -32766, -32317
830, 32748, 32748, -32524, 32766, -32719, -16915
840, 26430, 4243, 7738, -9536, 28322, 1043
850, 30600, 5392, 16442, -4614, 25237, -468
860, 23843, 6161, 15142, 4969, 12605, -4381
870, 12580, 6014, 4614, 4956, -490, -6162
880, 8284, 2357, 15302, -13213, 10, -6797
890, 4775, 829, 17188, -18923, 1081, -5103
900, 6236, -55, 13814, -18607, -1725, -3510
910, 7500, -1171, 7567, -14220, -2490, -3282
920, 4513, -1803, 7918, -11347, 998, -2989
930, -158, -3700, 4453, -6092, 6224, -2934
940, -636, -3125, 2537, -3656, 4804, -5012
950, 135, -2777, 852, -859, 3237, -4714
960, -2286, -1715, -207, 1493, 1842, -3261
970, -1370, 950, -6392, 2603, -4394, 2198
980, -266, 3324, -12610, -387, -6502, 4217
990, -770, 2571, -11023, -6559, -8109, 4729
1000, 1304, -922, -57, -13856, -13277, 3270
1010, 1608, -4941, 4141, -12650, -13580, 1207
1020, 1090, -6049, 1013, -7736, -11700, -1405
1030, 6777, -5481, -3356, -829, -5119, -5097
1040, 13233, -4235, -4959, 388, 31, -7025
1050, 22904, -1060, -4882, 562, 4849, -11084
1060, 22352, 2775, -6909, -217, 7332, -16865
1070, 32748, 4853, 1536, -926, -7423, -1716
1080, 32748, 7139, -478, 5589, -9635, 20231
1090, 32748, -2670, 18018, 9291, -9313, 31875
1100, 32748, 5012, 16808, 24311, 4052, 21462
1110, 32748, 6943, 15864, 21612, -4304, 12226
1120, 32748, 4588, 13049, 21841, -6755, 6979
1130, 32748, 5169, 14511, 21233, -3204, 3475
1140, 23769, 6977, 7402, 17737, -2454, 156
1150, 16916, 6664, 7678, 14292, 387, -200
1160, 11295, 6999, 3759, 7602, -264, -804
1170, 10178, 7862, 4596, 2747, 506, -1282
1180, 8423, 10488, 6425, -1820, 3508, -2075
1190, 6418, 10016, 9967, -4929, 4452, -2429
1200, 3260, 7995, 9826, -4619, 170, -1993
1210, 3047, 6716, 7997, -2679, -1895, -2029
1220, 3882, 4631, 7091, -911, -2232, -2393
1230, 2063, 1732, 4969, 880, 835, -4844
1240, 449, 904, 3753, 1122, 3077, -6106
1250, -776, 592, 2392, 1344, 5826, -6699
1260, -1908, 499, 1035, 1337, 8208, -6548
1270, -874, -241, -471, -77, 9300, -4657
1280, -31, -1119, -663, -1587, 9081, -4353
1290, -754, -3124, 1019, -2990, 8320, -5008
1300, 252, -5036, 984, -3048, 5818, -5749
1310, 7853, -2404, -5258, -2368, -2168, -10300
1320, 6164, -2610, -5893, -5272, -3688, -14282
1330, 6541, -601, -7890, -5809, -4479, -14323
1340, 19625, 3080, -11109, -9356, -9203, -11947
1350, 25951, 4937, -16518, -10085, -15118, -15518
1360, 32748, 4035, -19200, -8911, -26594, -19605
1370, 32748, 26356, -24059, 985, -31698, -11579
1380, 32748, 23158, -21513, 2208, -22202, 1945
1390, 32748, 13048, -7902, -4465, -12160, 6753
1400, 32748, 14297, 20947, 4355, 2885, 3456
1410, 32748, 24042, 10335, 14017, 2663, 3167
1420, 27646, 30430, 3049, 18084, 12712, 1110
1430, 22718, 3384, 32764, 19888, 22792, -9
1440, 17233, 1478, 23189, 28663, 14321, -3068
1450, 12161, 7777, 7318, 27675, 4719, -6747
1460, 11681, 5940, 2564, -111, -6229, -4649
1470, 6607, 3938, 6289, -8949, -6508, -3543
1480, 3369, 2340, 7274, -11493, -6894, -2180
1490, 1817, -125, 6571, -10797, -6976, -369
1500, 634, 561, 4672, -8016, -31, -945
1510, 554, 433, 3054, -5884, -1574, -1424
1520, -434, 535, 618, -4571, -2562, -654
1530, -677, -364, -709, -4421, -2368, 1162
1540, -72, -2363, -925, -8499, -3486, 1442
1550, -325, -2671, 29, -10914, -3549, 230
1560, -2746, 571, 1164, -11983, -1755, -353
1570, 6726, 4146, -2069, -12515, -849, 3165
1580, 5968, 1950, 3361, -15355, 4810, 924
1590, 7057, 1863, 1972, -14809, 8215, -2956
1600, 2709, 2094, 334, -13783, 11901, -5755
1610, -5327, 4736, 649, -8120, 11971, -4645
1620, -5295, -643, 6678, -9236, 3303, -1707
1630, 3776, 4959, 2014, 5913, -8185, 7852
1640, 27783, 17280, -24358, 3901, -3811, 10985
1650, 32748, 20961, -22271, -8792, 7272, 8568
1660, 32748, 27415, -16919, -13251, 6506, -83
1670, 31354, 11878, -5624, -9139, -19505, 2792
1680, 25128, 8659, -4787, -3388, -15671, 16786
1690, 32748, 1911, 2050, -923, -6965, 29708
1700, 32748, 3903, 11159, 10508, 28926, 20554
1710, 24455, 21723, -954, 5663, 4172, 14981
1720, 32748, 8262, 18513, 549, -10875, 11030
1730, 17814, 10715, 3673, 8507, 148, 6832
1740, 13952, 8620, 9249, 17998, -2617, 3183
1750, 14300, 4099, 8091, 15485, -5691, 3465
1760, 14306, 1225, 6435, 11734, -10537, 1850
1770, 12741, 2469, 8023, -4220, -12486, -4696
1780, 9066, 4514, 14559, -11387, -6689, -5941
1790, 5262, 4323, 21874, -14996, -3657, -7107
1800, -1017, 4219, 17466, -8889, -6460, -9468
1810, -481, 2672, 7167, -7251, -7517, -10280
1820, -4046, 283, 5817, -12100, -5724, -11965
