timestamp, ax, ay, az, gx, gy, gz
0,-8193,-2242,15066,-1502,50,-473
10,-8506,-2210,14682,-1633,541,-119
20,-8193,-3159,15994,-6113,4733,726
30,-8930,-5972,16844,-5041,5031,1581
40,-9889,-2620,13996,558,2206,-835
50,-8363,-2458,12569,-277,2293,-260
60,-8689,-2991,13518,-623,2669,-294
70,-9115,-2835,13521,-444,2956,-153
80,-7718,-1673,12706,-765,2003,-376
90,-8239,-2675,13470,-1283,2690,-37
100,-8526,-2721,13630,-1003,2698,-130
110,-8683,-2837,12937,-866,4339,-95
120,-7777,-2217,12310,-1335,5474,-388
130,-8793,-2885,12847,-2537,8183,-212
140,-10153,-2146,12708,-2604,9104,-363
150,-9790,-2487,13547,-2293,6510,-556
160,-9739,-2827,13743,-2204,5686,-261
170,-10071,-2409,13225,-1846,5062,-72
180,-11545,-3178,14573,-1049,3239,274
190,-11113,-3094,14107,78,1608,243
200,-10720,-3049,13528,628,602,519
210,-10731,-2851,12856,1090,-297,549
220,-10191,-2804,11433,1303,-613,800
230,-10192,-2641,11041,938,-392,765
240,-10250,-2808,11219,490,-162,664
250,-9741,-2432,11973,-55,678,518
260,-10153,-2699,11638,-143,1624,538
270,-10508,-2436,11372,-306,2315,294
280,-10890,-2326,11964,-642,2425,321
290,-11189,-2818,12428,-548,1825,205
300,-11391,-2749,12097,-230,1522,356
310,-11975,-2916,12010,386,544,418
320,-12303,-3099,12902,1016,79,383
330,-12667,-2759,13518,2058,-368,388
340,-11603,-2009,12777,3236,-666,772
350,-11767,-7443,17109,6332,0,1777
360,-11567,-4432,15117,11516,671,3080
370,-9445,-31,7971,15811,1546,4473
380,-11101,2931,5398,-4895,2942,1267
390,-14218,-2459,13492,-15436,-1984,153
400,-12862,-6800,18955,-11591,-14724,-2366
410,-3282,-8104,16649,9050,-18561,-2456
420,-2634,-6037,9871,14468,-9244,-1833
430,-6097,-3200,8883,13491,-3865,-3314
440,-6929,-2691,12289,9040,-3272,-4393
450,-6544,-3646,14172,8190,-2953,-5525
460,-5609,-3313,13778,9999,-2804,-6198
470,-4025,-2132,12408,11559,-741,-6575
480,-6501,-1137,15950,8598,7644,-7519
490,-9651,-856,16677,7644,9286,-7771
500,-11976,173,15565,7536,8521,-7052
510,-10353,1351,14315,5770,5914,-3539
520,-7391,735,14492,5849,7486,-1985
530,-5522,166,14472,6814,10866,-1959
540,-8756,60,13006,6683,16924,-5313
550,-9399,75,12376,5601,19265,-5591
560,-9636,680,13117,4089,20125,-5692
570,-10375,1998,12646,250,21767,-7218
580,-11830,2055,13092,-1787,22887,-8292
590,-13471,104,14518,-1490,23625,-8458
600,-9398,-3828,16746,3063,23145,-7996
610,-13174,-2480,13987,17470,19618,-13020
620,-21100,-4176,7363,20590,12813,-18551
630,-20393,-6117,6369,20814,9754,-20226
640,-30089,-5191,-4763,11370,14509,-11757
650,-23115,-6096,3862,4840,14719,-550
660,-13504,-2764,3443,3143,12823,7932
670,-11600,-1119,2677,1160,13322,8717
680,-17734,-1790,4908,-348,11259,5393
690,-17824,-1003,6677,955,9714,5865
700,-16906,-782,8586,2893,8387,5654
710,-17564,-4383,8866,11437,10317,10025
720,-15530,-2589,8125,15537,13614,16414
730,-15273,2389,7341,17681,11704,26419
740,-11423,13128,4554,17026,4875,25373
750,-5393,13108,9864,13589,-1099,15154
760,-17945,6340,9077,10010,-6386,2609
770,-13014,4239,10017,8079,-10313,4401
780,-10244,2596,12199,8365,-6355,6687
790,-11220,2890,11500,11880,1195,9523
800,-12386,5478,1801,22422,3436,13331
810,-12074,5741,565,24547,283,14809
820,-11734,6525,922,25969,-2909,15781
830,-13783,8544,1759,31860,-7031,15171
840,-13020,9449,938,32763,-8015,15405
850,-13186,9518,-274,32765,-7777,15803
860,-13392,9351,-1712,32766,-6643,17465
870,-13775,9306,-2113,32766,-6496,17910
880,-14431,10216,-2124,32765,-6777,18125
