timestamp, ax, ay, az, gx, gy, gz
0, -15438, -509, 7008, -212, 4309, -725
10, -15479, -500, 6827, -213, 4153, -664
20, -15460, -547, 6513, -179, 3540, -668
30, -15320, -488, 6554, -199, 3177, -608
40, -15088, -363, 6594, -294, 2667, -592
50, -14970, -263, 6804, -457, 1481, -883
60, -15059, -355, 6986, -484, 1290, -1007
70, -15188, -431, 7047, -506, 1408, -1120
80, -15313, -695, 6902, -387, 1968, -1055
90, -15401, -790, 6804, -302, 2103, -987
100, -15477, -753, 6750, -233, 2118, -881
110, -15117, -507, 6627, -155, 1956, -645
120, -15253, -622, 6654, -324, 2721, -994
130, -15600, -814, 6512, -215, 3525, -956
140, -15761, -854, 6332, -91, 3958, -825
150, -15839, -907, 6124, 24, 4456, -693
160, -15790, -1005, 5542, 168, 5152, -648
170, -15761, -976, 5292, 229, 5541, -636
180, -15741, -922, 5054, 277, 5711, -599
190, -15760, -654, 4676, 220, 5436, -582
200, -15913, -582, 4548, 184, 5290, -607
210, -15968, -620, 4428, 75, 5302, -606
220, -16154, -698, 4374, -46, 5351, -692
230, -16100, -894, 4105, 84, 5277, -701
240, -16143, -884, 3877, 225, 5109, -659
250, -16118, -797, 3548, 330, 4767, -544
260, -16142, -758, 3498, 308, 4557, -541
270, -16253, -751, 3428, 313, 4333, -567
280, -16426, -852, 3230, 329, 4097, -634
290, -16345, -835, 3164, 341, 4080, -563
300, -16260, -948, 3054, 411, 3943, -544
310, -16347, -1042, 2876, 518, 3821, -626
320, -16465, -1110, 2569, 659, 3813, -612
330, -16481, -1083, 2499, 660, 3679, -576
340, -16436, -1020, 2435, 671, 3415, -563
350, -16608, -947, 2350, 711, 2626, -585
360, -16568, -954, 2312, 751, 2195, -560
370, -16445, -987, 2221, 778, 1783, -519
380, -16313, -1009, 2201, 755, 1449, -505
390, -16106, -910, 2384, 677, 881, -478
400, -16271, -992, 2345, 665, 737, -593
410, -16524, -965, 2254, 671, 761, -723
420, -16344, -1069, 2179, 534, 938, -513
430, -16347, -1105, 2108, 517, 967, -571
440, -16394, -1152, 2052, 523, 983, -626
450, -16499, -1225, 2030, 529, 953, -704
460, -16650, -1233, 1930, 579, 738, -741
470, -16522, -1232, 1931, 543, 630, -674
480, -16426, -1161, 1947, 560, 444, -659
490, -16323, -953, 1898, 534, 204, -653
500, -16298, -943, 1883, 529, 193, -691
510, -16341, -1042, 1836, 493, 249, -718
520, -16489, -1248, 1764, 488, 315, -698
530, -16483, -1340, 1676, 488, 355, -627
540, -16406, -1462, 1653, 477, 401, -567
550, -16362, -1327, 1622, 519, 280, -470
560, -16379, -1410, 1666, 522, 107, -502
570, -16567, -1365, 1593, 552, 140, -562
580, -16406, -1158, 1523, 532, 238, -496
590, -16381, -1157, 1479, 497, 86, -456
600, -16369, -1140, 1459, 449, -8, -474
610, -16441, -1153, 1572, 373, -132, -490
620, -16402, -1098, 1607, 288, -191, -372
630, -16397, -1118, 1669, 241, -124, -363
