timestamp, ax, ay, az, gx, gy, gz
0,-5819,-4985,14095,308,7366,-10491
10,-13660,-16155,8264,2941,7371,-15780
20,-6448,-16469,6435,13656,1037,-7446
30,-23028,-29453,-15269,22357,-1746,-17724
40,-17658,-20393,-20333,30547,-22679,-13659
50,-21359,-5601,-20824,18176,-26536,-8611
60,-27159,-2860,-14450,7965,-31670,-8663
70,-24845,-428,-6236,1785,-32766,-4493
80,-25943,-8510,13013,-255,-29618,-1513
90,-30779,-14001,14355,3961,-19709,3713
100,-22836,-16218,15340,6779,-13238,15470
110,-14760,-7617,9559,-11445,-5458,-7126
120,-16421,-6743,10646,-14844,-8663,-9512
130,-17684,-6905,10160,-14801,-9636,-8318
140,-13810,-6073,2206,-13047,-8139,1008
150,-11006,-6635,986,-17207,-9572,1244
160,-8394,-6917,1118,-22354,-14250,-3299
170,-7211,-6534,345,-26253,-18052,-17726
180,-3257,-5699,1050,-27457,-17753,-23346
190,-770,-5413,2101,-27930,-16412,-28549
200,-2426,-5422,1997,-26445,-14032,-32183
210,-6791,-6369,3266,-27102,-5929,-32766
220,-13334,-8186,5002,-26902,-2083,-31708
230,-29612,-15573,15977,-25512,-2595,-12885
240,-32764,-21320,20504,-9496,-15257,4337
250,-31098,-23933,18461,1860,-23884,18421
260,-22784,-20766,12858,12185,-22611,26978
270,-6303,-5395,2226,23799,5461,32762
280,-3406,-7562,3832,24223,12210,31476
290,-2213,-4844,1702,24847,15762,24096
300,-13567,-3478,7212,18814,16423,3094
310,-19207,-4327,10705,18379,15057,1174
320,-18772,-4068,7410,19171,12620,4435
330,-12906,-1664,7098,5378,548,4075
340,-10996,-1554,7910,-1443,-321,3091
350,-16117,-3595,8594,-5653,-2243,-2150
360,-15069,-3977,4865,-2652,-9157,-4773
370,-11410,-603,7165,-3804,-11701,-5278
380,-12404,-2178,10621,-4622,-12842,-6607
390,-15912,-6889,11583,-3048,-11822,-6224
400,-12394,-9463,9711,-1654,-4911,1989
410,-11543,-11887,9863,-2316,-4720,4308
420,-13678,-12930,7449,-963,-4367,4393
430,-12964,-11752,5746,116,-3941,4540
440,-16128,-8635,7454,1399,-3526,72
450,-16215,-8259,8491,2034,-3214,105
460,-14297,-8732,9029,1287,-5786,1572
470,-12784,-7329,8665,1543,-6672,2233
480,-11355,-5661,8901,2607,-7578,2536
490,-11337,-4906,9924,3795,-7732,1886
500,-11964,-5818,10714,3766,-7651,1346
