timestamp, ax, ay, az, gx, gy, gz
0,0,0,0,0,0,0
10,4342,193,16060,404,-474,-521
20,4631,-373,15197,18130,-15512,-15810
30,5377,-1077,16064,27454,-25951,-23824
40,6305,-1260,15493,1575,-1920,-759
50,6187,-1133,15404,1082,-1369,-828
60,6158,-517,15470,758,-1408,-1234
70,5204,318,16078,290,-1863,-1610
80,5535,332,16117,220,-2129,-1229
90,5520,-141,16408,361,-2136,-1246
100,4933,-426,16184,812,-2230,-1619
110,5269,-1199,15633,1739,-2740,-1200
120,7815,-975,25536,-1105,42,-33
130,5920,-1433,12269,8700,-1049,-2841
140,3642,125,10362,7436,-789,-3309
150,5011,529,15286,1912,-278,23
160,6571,-430,14546,2538,-795,305
170,6590,-616,15365,2188,-1608,-127
180,6554,-723,15051,1826,-1968,-1066
190,6407,462,15465,1898,-1543,-1652
200,6412,703,15844,2170,-1316,-1911
210,6253,324,15975,2264,-942,-2148
220,5062,197,17096,2334,-945,-2467
230,4666,-35,15221,2733,-1857,-2064
240,4977,623,13598,3382,-2384,-2008
250,6206,787,14351,3828,-2760,-1465
260,6248,1528,13618,4263,-2842,-1900
270,5698,1833,14209,3850,-2797,-2076
280,4423,1936,13879,3268,-2685,-1763
290,3626,1686,13780,2922,-2435,-1151
300,3771,1026,14099,2277,-2306,-22
310,5186,-1056,14460,1248,-2089,1771
320,5868,-1068,13984,840,-1691,2285
330,5518,-875,13851,-137,-1524,2426
340,4093,-1367,14281,-1282,-2006,2109
350,2917,-1178,13079,-2742,-3352,2184
360,3943,-1126,13744,-4117,-4274,2394
370,4733,-1133,14635,-5401,-4974,2302
380,6416,-4844,18055,-6656,-5702,548
390,7719,-2276,19439,-5898,-6179,336
400,8396,-2125,20773,-777,-7180,38
410,8323,-192,17492,6256,-9014,-797
420,5181,3267,14349,10912,-9779,-930
430,2419,4510,13823,10880,-12022,-677
440,64,5447,12165,10447,-16196,-65
450,2668,6583,7630,5442,-24148,4252
460,4523,5353,9423,1320,-22222,9284
470,6795,2783,12531,-1758,-18925,13999
480,8555,1247,13884,-2120,-17947,15374
490,7917,2690,9802,-203,-19592,11447
500,7085,3963,7979,-1280,-19073,10828
510,6402,3092,8508,-6220,-18992,12860
520,8453,1278,8029,-7646,-20986,13850
530,13109,-798,7842,-8007,-21346,15305
540,20754,-5774,14092,-5660,-12390,19641
550,23718,-5983,14785,-2662,-8731,18446
560,24272,-4514,13758,490,-6318,14087
570,19707,-1146,9536,2288,-7110,1730
580,16663,-1354,8817,372,-11227,-3377
590,13318,-2843,10299,-1654,-15508,-6335
600,10995,-4142,10994,-2051,-18837,-6972
610,14462,-3133,7338,2528,-22727,-7949
620,16334,-1960,2233,4895,-22375,-9379
630,16310,-735,1178,4648,-17697,-7818
640,14151,-1088,5600,-6767,-2072,8725
650,15985,-2785,9657,-9221,1781,10867
660,15633,-1562,7147,-6136,1585,7318
670,15697,-2141,6043,-3089,332,4496
680,18790,-2993,5503,-1246,-7337,-284
690,21911,-4081,8271,-1412,-9843,-2594
700,22150,-3974,8618,-228,-10936,-5861
710,18506,-2024,2678,498,-11799,-9568
720,17704,-2595,3059,-1651,-11438,-9124
730,16227,-1311,2303,-3107,-11413,-8592
740,16011,663,3163,-6012,-6717,-3434
750,16344,-1138,4049,-7455,-4083,-946
760,16095,-2203,3795,-8026,-2049,214
770,16576,-1618,2662,-8808,-892,899
780,17159,-1354,1554,-10466,-1358,935
790,15709,-1543,3980,-12705,-1989,920
800,13666,-2149,3020,-13245,-7918,2682
810,15825,-3903,1103,-12962,-8400,4326
820,15746,-3734,1736,-13027,-8639,2928
830,14328,-2807,-50,-13585,-10098,2494
840,12467,-3380,63,-16552,-10496,5614
850,10961,-5079,415,-17158,-11883,10004
860,10320,-7167,1034,-15687,-13215,14994
870,32748,-10091,410,-8966,-18664,15588
880,24202,-11721,1698,-5437,-14599,-3447
890,17808,-6871,56,-1418,-5611,-6878
900,17263,-5149,-4933,-4842,-7413,-5212
910,17757,-6124,-4205,-7939,-7455,-3713
