timestamp, ax, ay, az, gx, gy, gz
0, 0, 0, 0, 0, 0, 0
10, -4981, -9108, 13650, 441, -466, -506
20, -4718, -8646, 12194, 14600, -11195, -13171
30, -5153, -9033, 12716, 27220, -25385, -23887
40, -5236, -8885, 12584, 898, -1390, -982
50, -5138, -9258, 12740, 140, -775, -444
60, -5157, -9598, 12911, -21, -660, -245
70, -4720, -9642, 12957, -99, -756, -109
80, -4633, -9677, 12982, -43, -614, -236
90, -4675, -9538, 12942, 24, -650, -322
100, -4454, -9532, 12905, 16, -676, -322
110, -4796, -9362, 12650, 57, -556, -409
120, -4624, -9375, 12865, 52, -697, -101
130, -4360, -9132, 12872, -4, -605, -181
140, -4546, -9171, 12692, -218, -583, -110
150, -4904, -9320, 12630, -332, -471, -143
160, -4945, -9918, 12741, -339, -386, -70
170, -4190, -9651, 13469, -602, 455, 676
180, -3766, -9280, 13419, -621, 623, 656
190, -4182, -8892, 13247, -556, 475, 332
200, -4346, -8779, 12843, -506, -18, -103
210, -4518, -9104, 12827, -1031, 76, -574
220, -4690, -9299, 12990, -1412, 289, -439
230, -4404, -9660, 12917, -1901, 18, 31
240, -5646, -9754, 12247, -1597, -172, -158
250, -5182, -9684, 11314, -1471, -25, -614
260, -5753, -8863, 10943, -2494, 199, -914
270, -5863, -8735, 10584, -3131, -259, -804
280, -6177, -9603, 10888, -3586, 460, -137
290, -4870, -10632, 12281, -4243, 3116, 1130
300, -4328, -10198, 12697, -4039, 2911, 664
310, -4592, -9029, 12624, -3847, 2842, 422
320, -4725, -8087, 11046, -3969, 2269, 606
330, -5394, -10041, 9851, -5983, 400, 2583
340, -3788, -11333, 12047, -8228, 3928, 3800
350, -10241, -10770, 14471, -8901, 8458, 5018
360, -6592, -12666, 11110, -4542, -1527, 347
370, -7032, -11622, 11631, -3758, -217, 678
380, -5283, -12526, 11333, -3393, 147, 1872
390, -6547, -12872, 12285, -3072, 770, 1949
400, -5810, -12114, 12442, -1371, 177, 1260
410, -6749, -9762, 10997, -774, -77, 596
420, -7285, -8902, 9606, -1127, -955, 285
430, -7723, -10050, 10077, -3521, -2033, 805
440, -7305, -11619, 11039, -4157, -2320, 1729
450, -5661, -12228, 11551, -4317, -2419, 2608
460, -5301, -11802, 11469, -2924, -1542, 2478
470, -5269, -11629, 10984, -2255, -1284, 2120
480, -5905, -11961, 11089, -1716, -889, 1764
490, -5814, -12703, 11092, -467, -178, 1278
500, -6736, -13004, 11085, 165, 25, 981
510, -7295, -13656, 10802, 805, -260, 830
520, -7360, -12932, 11296, 2462, 157, 1197
530, -6373, -12103, 10957, 3588, -756, 217
540, -6130, -11005, 11428, 4488, -1133, -1255
550, -7022, -11828, 11164, 4897, -2806, -2186
560, -5263, -11165, 10753, 5338, -4817, -3664
570, -5285, -10702, 11709, 4376, -3760, -3538
580, -4508, -10669, 11868, 3973, -2856, -3661
590, -5836, -10271, 11942, 3753, -885, -3828
600, -6744, -10383, 11602, 3579, -527, -3597
610, -6369, -10341, 11545, 3419, -564, -3373
620, -6499, -10617, 12106, 3143, -858, -3050
630, -6184, -10408, 12043, 3576, -2088, -3483
640, -5699, -10016, 12074, 3792, -2123, -3606
650, -4871, -9882, 12266, 3779, -1621, -3152
660, -4336, -9877, 12387, 3068, 316, -1522
670, -4710, -9592, 11868, 2786, 1008, -1159
680, -5549, -9333, 11339, 2369, 1344, -891
690, -6483, -9184, 10646, 1413, 764, -1045
700, -6162, -9225, 10461, 1234, -111, -1780
710, -5330, -9128, 10717, 869, -1176, -2662
720, -4812, -9970, 11207, 349, -906, -2211
730, -4829, -10560, 12061, -272, -631, -1483
740, -4661, -11257, 12263, -533, -394, -686
750, -4813, -11303, 12429, 448, 225, -792
760, -5113, -10814, 11785, 1084, -115, -1299
770, -5373, -10227, 11537, 1114, 58, -1322
780, -5716, -9691, 11192, 289, 458, -1061
790, -5463, -9506, 11177, -254, 507, -1008
800, -5422, -9354, 11462, -837, 838, -800
810, -6702, -11035, 11484, -1438, 128, -97
820, -6748, -11703, 11513, -1176, -728, -292
830, -6025, -12055, 11947, -871, -1052, -334
840, -4931, -11709, 12292, -416, -916, -414
850, -4546, -10594, 11835, 216, -195, -893
860, -5731, -10641, 11524, 75, 174, -924
870, -6242, -10773, 11237, -130, -45, -802
880, -4653, -10449, 11833, -1203, 1411, 373
890, -6356, -10503, 12695, -1779, 2744, 1492
900, -5684, -11296, 11724, -1171, 613, 812
910, -6663, -11707, 11673, -791, 720, 591
920, -5768, -11432, 11242, -54, 262, 536
930, -5639, -10957, 11167, 240, 116, 49
940, -5690, -10778, 11086, 262, -122, -369
950, -6156, -11352, 11880, -1042, -276, -507
960, -6903, -12364, 11341, -585, -989, -421
970, -6025, -10808, 9986, 100, -795, 417
980, -5484, -10006, 10062, -280, -170, 697
990, -4986, -9777, 10414, -740, 286, 690
1000, -4227, -9584, 10859, -1146, 299, 390
1010, -4467, -11640, 12029, -1381, -541, -743
1020, -4993, -13028, 12276, -981, -1090, -1122
1030, -5990, -13767, 12799, -268, -1297, -1247
1040, -5492, -12627, 12351, 1789, -935, -1146
1050, -5220, -11412, 11999, 2351, -1065, -1328
1060, -4587, -10213, 11710, 2475, -1367, -1593
1070, -5896, -9698, 11220, 2148, -1600, -1858
1080, -4638, -10231, 10196, 1062, -2393, -2021
1090, -5548, -11376, 11097, -259, 798, -929
1100, -13653, -8441, 14305, -904, 3511, 764
1110, -5247, -12329, 11158, 386, -1788, -957
1120, -5567, -11402, 12194, 590, 1469, -1219
1130, -3246, -10838, 11713, 566, -546, -876
1140, -5454, -10178, 11551, 521, -1766, -3010
1150, -5661, -10172, 11448, 146, -2379, -3251
1160, -5617, -10766, 11215, 4, -2869, -3039
1170, -4646, -12265, 11388, 332, -3256, -1749
1180, -4192, -12478, 11395, 576, -2739, -1307
1190, -3972, -12051, 11423, 841, -1984, -1172
1200, -4358, -11075, 11186, 1203, -1062, -1494
1210, -4307, -10721, 11095, 1037, -880, -1691
1220, -4824, -10858, 11118, 689, -789, -1912
1230, -6190, -11880, 11447, 308, -296, -1513
1240, -5758, -12012, 11787, 250, 93, -893
1250, -5140, -12092, 11939, 359, 403, -449
1260, -4913, -11606, 11715, 540, 719, -235
1270, -4829, -11999, 11934, 271, 2005, 128
1280, -4831, -12518, 12230, 132, 2777, 410
1290, -4738, -12715, 12852, 275, 3016, 358
1300, -4678, -9962, 12206, 1648, 2466, -956
1310, -5037, -12718, 13099, 2651, 416, -2301
1320, -6261, -13997, 13552, 3492, -685, -3233
1330, -6176, -12870, 13528, 4908, -2120, -3741
1340, -4853, -11649, 12265, 6771, -3435, -3912
1350, -6001, -11433, 11425, 7055, -3790, -4226
1360, -6599, -10962, 10906, 7019, -4224, -4097
1370, -5829, -9599, 10637, 6289, -4102, -3482
1380, -4979, -9008, 10654, 5759, -3890, -3274
1390, -3967, -8502, 10692, 5050, -3638, -3123
1400, -3438, -7738, 11061, 3049, -2432, -3175
1410, -3457, -8161, 11619, 2085, -1678, -2598
1420, -3564, -8976, 12207, 1446, -1170, -2062
1430, -4027, -10669, 13500, 1711, -1295, -1573
1440, -3946, -10880, 13829, 2494, -1807, -1956
1450, -3562, -10595, 13750, 3460, -2217, -2729
1460, -2845, -9298, 13236, 4766, -3080, -4111
1470, -2580, -8803, 13272, 4922, -3349, -4680
1480, -2557, -8738, 13204, 4910, -3074, -5029
1490, -2895, -8786, 13530, 3878, -2066, -4198
1500, -3092, -8759, 13549, 3582, -1644, -3826
1510, -3014, -8752, 13532, 3400, -1617, -3822
1520, -2851, -8687, 13522, 3358, -1867, -3946
1530, -1744, -8742, 14016, 3074, -1494, -4467
1540, -1699, -8707, 14322, 2862, -1354, -5051
1550, -2121, -9028, 14413, 2470, -1441, -5083
1560, -2398, -9567, 14685, 1779, -2337, -4353
1570, -2288, -9278, 14631, 1967, -2847, -4421
1580, -2422, -8501, 14481, 2267, -3596, -4966
1590, -2117, -7855, 14165, 2630, -4613, -5650
1600, -1415, -7531, 14162, 2677, -5036, -6044
1610, -758, -7353, 14163, 1994, -4436, -5407
1620, 1122, -6982, 15058, 610, -3979, -5857
1630, 146, -7388, 15244, 388, -2336, -6166
1640, -753, -8100, 14624, 367, -837, -5759
1650, -1319, -8597, 14431, 216, -901, -4824
1660, -1018, -8536, 14397, 704, -1619, -5448
1670, -1290, -8545, 14369, 1381, -1842, -6400
1680, -1417, -8319, 14028, 1770, -1885, -6932
1690, -1347, -7696, 13214, 855, -1392, -5871
1700, -1546, -7821, 13194, 187, -1352, -5279
1710, -1396, -8241, 13403, -300, -1617, -5108
1720, -1567, -8832, 13944, -425, -1939, -5173
1730, -378, -9771, 15019, 126, -2562, -4634
1740, 881, -9692, 15182, 459, -2401, -4379
1750, -1229, -9261, 13865, 841, -2124, -4715
1760, 3493, -8960, 14522, 245, -13075, -6506
1770, 416, -8412, 14039, -170, -3587, -5450
1780, 342, -8615, 13823, -465, 949, -3965
1790, 292, -8351, 13860, -966, 2741, -2697
1800, -700, -8615, 14508, -1425, 2324, -2287
1810, -946, -8655, 14322, -1229, 555, -2654
1820, 1446, -8124, 13850, -1010, -1108, -3566
1830, 384, -8417, 14428, -1706, 797, -3413
1840, 845, -8616, 15359, -2170, 283, -2825
1850, 557, -8053, 12812, -243, -2264, -5545
1860, 497, -7550, 14479, -877, -7270, -7339
1870, -125, -7927, 14209, -422, -2261, -6576
1880, 1266, -8037, 12958, -320, 1007, -5734
1890, 5655, -8916, 14839, -915, -6890, -5928
1900, 926, -9332, 17224, -1516, -63, -7858
1910, 2931, -8656, 15997, -20, -793, -8775
1920, 1299, -6693, 13290, 2193, -1849, -12435
1930, -55, -4960, 9739, 1899, -4232, -14184
1940, -952, -3834, 7046, -367, -5095, -14711
1950, 1701, -5744, 8988, -4199, -5046, -14788
1960, -504, -5178, 12154, -6226, -5873, -16471
1970, 435, -3837, 10512, -5212, -6087, -16607
1980, 1698, -2558, 9411, -5620, -6145, -17946
1990, 3814, -1672, 9498, -8146, -6506, -23432
2000, 2812, -1919, 9400, -8358, -6182, -25708
2010, 2084, -2288, 9220, -7611, -5407, -25739
2020, 4203, -3001, 9068, -6321, -4320, -23966
2030, 6034, -3657, 9461, -3993, -2831, -20681
2040, 7108, -3833, 9461, -2989, -3273, -21616
2050, 6739, -3242, 9155, -2342, -4201, -24009
2060, 4953, -1605, 9556, -2657, -5751, -29716
2070, 4972, -1239, 9272, -2985, -6734, -31915
2080, 8562, -1161, 7995, -4137, -8517, -32281
2090, 9194, -952, 7075, -4855, -8806, -30755
2100, 9909, 691, 5789, -5055, -8548, -28550
2110, 11508, 1729, 5727, -5470, -8495, -26793
2120, 13850, 1578, 7046, -6241, -9678, -28349
2130, 12748, 1024, 8163, -6139, -9289, -30095
2140, 11028, 1047, 8731, -5485, -7545, -30148
2150, 11727, 3431, 9540, -4542, -419, -23514
2160, 14698, 3965, 10304, -4510, 3785, -18529
2170, 17684, 3264, 10857, -3621, 7380, -14129
2180, 19644, 1810, 12047, -1501, 9888, -10115
2190, 21695, -206, 12831, 6019, 10486, -4471
2200, 22698, -1082, 12492, 8386, 8445, -4407
2210, 22184, -825, 12784, 8781, 6425, -6350
2220, 20289, -710, 13949, 6667, 1690, -15190
2230, 18959, -489, 13965, 5381, 786, -18536
2240, 17045, 751, 14254, 4417, 620, -20095
2250, 17025, 2159, 13262, 4344, 211, -20275
2260, 17629, 2116, 13571, 5568, -9, -18560
2270, 17157, 2422, 13768, 6043, -665, -18211
2280, 16948, 3016, 13097, 6620, -1379, -17873
2290, 16730, 2728, 14308, 6695, -709, -16560
2300, 17076, 3140, 13831, 6782, -153, -16175
2310, 17376, 3962, 14057, 6682, 2109, -15253
2320, 17720, 3928, 13903, 7120, 3099, -14490
2330, 18515, 3904, 12898, 7285, 3249, -13701
2340, 18755, 3511, 12611, 6616, 2492, -13451
2350, 18389, 3030, 12720, 4954, -1063, -13859
2360, 17840, 3049, 12447, 4507, -2492, -13648
2370, 17336, 3012, 12881, 4158, -3399, -13190
2380, 16762, 3321, 13064, 4035, -4167, -12867
2390, 16112, 3273, 13149, 3704, -3873, -12795
2400, 15628, 3515, 12972, 3128, -3766, -12738
2410, 15372, 4040, 12670, 2349, -3590, -12444
2420, 15818, 3962, 12033, 712, -2719, -10350
2430, 16340, 3948, 11718, 41, -2838, -9426
2440, 16122, 4414, 11825, -738, -3557, -9469
2450, 14361, 6083, 12141, -1563, -6337, -11844
2460, 13326, 6743, 11545, -1516, -7118, -12819
2470, 12586, 6785, 11363, -1629, -6822, -12899
2480, 12462, 6765, 11358, -1763, -5805, -12124
2490, 12522, 7081, 11475, -1806, -3424, -10149
2500, 12516, 7835, 11691, -1867, -2636, -9641
2510, 13372, 8149, 11811, -1944, -2000, -9124
2520, 14631, 7329, 11890, -994, -480, -7933
2530, 14577, 6962, 11391, -218, -313, -7486
2540, 13759, 7472, 10798, -240, -867, -7378
2550, 13418, 7841, 10719, -868, -1080, -7645
2560, 13435, 8223, 10659, -1541, -1279, -7943
2570, 13362, 8597, 11503, -2173, -1067, -8024
2580, 13796, 8552, 11601, -2236, 381, -6760
2590, 14336, 8202, 11549, -2063, 1107, -5822
2600, 14644, 7973, 11471, -2314, 1409, -5170
2610, 14280, 7901, 11933, -3717, 270, -5699
2620, 14106, 7681, 11597, -4089, -682, -6461
2630, 13357, 7073, 11137, -4045, -1396, -7229
2640, 10842, 5389, 9860, -2635, -2055, -7396
2650, 9383, 4889, 9133, -1600, -1988, -6426
2660, 8042, 4832, 8810, -906, -1990, -4998
2670, 7349, 5636, 8661, -702, -2237, -3632
2680, 6440, 6931, 9561, -1634, -2775, -2766
2690, 7131, 7369, 9929, -2072, -2400, -2389
2700, 7033, 7464, 10214, -2049, -1436, -1949
2710, 8160, 7500, 10141, -781, 1283, 328
2720, 8268, 7828, 10107, -152, 2188, 1358
2730, 8707, 8233, 10538, 312, 2364, 1854
2740, 9063, 8421, 11017, 925, 2098, 1823
2750, 9490, 8150, 11111, 2434, 1836, 1636
2760, 9447, 5650, 9619, 1694, 1377, 2984
2770, 9355, 5445, 9590, 645, 608, 2593
2780, 8963, 5480, 9578, -930, -1132, 1725
2790, 8644, 5629, 9545, -1313, -1552, 1531
2800, 8106, 6036, 9430, -1397, -1663, 1424
2810, 8300, 6097, 9509, -1394, -1674, 1455
2820, 8915, 5694, 9751, -1093, -1039, 1921
2830, 9375, 5382, 9979, -659, -592, 2111
2840, 9634, 5099, 9907, 22, -295, 2206
2850, 9898, 5407, 9538, 1314, 265, 2499
2860, 9852, 5343, 9911, 1716, 724, 2717
2870, 9751, 5360, 10254, 2325, 1124, 2874
2880, 9453, 5127, 10562, 2991, 1480, 2971
2890, 10552, 4389, 11216, 4072, 2338, 4266
2900, 11269, 3852, 11515, 4481, 3167, 5302
2910, 11455, 3439, 11540, 4653, 3877, 6183
2920, 13644, 3968, 12106, 3577, 3573, 6214
2930, 13469, 4170, 12390, 2730, 3167, 4761
2940, 12490, 3765, 11853, 2380, 2216, 3176
2950, 11352, 3575, 11423, 2143, 1031, 2438
2960, 10111, 4521, 11612, 438, -442, 4579
2970, 10779, 5659, 12910, -362, -1048, 5940
2980, 12189, 7163, 13738, -217, -1666, 6378
2990, 11850, 8345, 13708, 1350, 622, 6359
3000, 11372, 8474, 13848, 2023, 2518, 7099
3010, 11874, 8772, 14501, 2868, 5016, 9914
3020, 12467, 9270, 15025, 2946, 5232, 10887
3030, 13196, 9703, 15413, 2553, 4999, 11317
3040, 13868, 10061, 15810, 1872, 4476, 11198
3050, 14733, 10444, 15935, 563, 2976, 10045
3060, 14847, 10266, 15606, 571, 2707, 9459
3070, 14535, 9923, 15229, 908, 2865, 9045
3080, 14907, 8540, 14171, 692, 2790, 8397
3090, 14687, 7790, 13784, -12, 2715, 7807
3100, 14366, 7167, 13224, -616, 2415, 7239
3110, 14001, 6983, 12473, -979, 1959, 6955
