timestamp, ax, ay, az, gx, gy, gz
0, -21565, -915, 2002, 3205, -125, 832
10, -20778, 19, 2043, 3020, 86, 1764
20, -20713, 764, 1219, 2648, 80, 2433
30, -21316, 1053, -732, 2583, -800, 2997
40, -21996, -1284, -5000, 2186, -4561, 3923
50, -20820, -3521, -5591, 1296, -5088, 4129
60, -19557, -5540, -5408, 810, -4701, 3437
70, -17921, -6497, -5029, 1215, -3845, 2523
80, -13942, -5089, -5294, 3498, -1658, 1644
90, -11659, -4423, -5511, 3688, -404, 1721
100, -10100, -5549, -4866, 2738, 800, 382
110, -11905, -6943, -4942, 2676, -572, -491
120, -14228, -7771, -5362, 2783, -2713, -861
130, -17301, -8017, -5045, 2548, -3246, -907
140, -17583, -7130, -4920, 2757, -1853, -786
150, -16555, -5902, -4517, 3084, -360, -448
160, -14279, -4040, -3474, 3648, 124, -133
170, -13600, -3613, -2815, 3818, -432, -136
180, -13382, -3779, -2053, 4025, -761, -282
190, -14541, -4407, -1371, 5103, -455, -682
200, -15285, -4428, -1656, 5612, -285, -660
210, -15734, -4244, -1787, 5641, -175, -596
220, -15739, -3791, -1648, 5324, -120, -591
230, -14850, -2237, -1484, 4249, 147, -678
240, -14347, -1640, -1381, 3614, 351, -729
250, -14040, -1326, -1157, 3059, 251, -766
260, -14072, -1553, -716, 2355, -447, -917
270, -14525, -2021, -456, 2155, -797, -1048
280, -14881, -2464, -222, 1962, -1008, -1071
290, -15027, -2893, 215, 1739, -1182, -1079
300, -14879, -3169, 220, 1141, -1588, -1217
310, -14568, -3037, 357, 973, -1780, -1178
320, -14284, -2756, 455, 1004, -1711, -1087
330, -14072, -1966, 290, 1486, -833, -772
340, -14284, -1429, 190, 1637, -654, -625
350, -14933, -627, 602, 957, -1494, -546
360, -15154, -475, 1056, 262, -2033, -427
370, -15151, -579, 1588, -397, -2522, -203
380, -14434, -1443, 2181, -733, -2922, 606
390, -13651, -1879, 2092, -469, -2872, 1052
400, -12884, -2199, 1696, -217, -2660, 1277
410, -12530, -2450, 1199, -119, -2325, 1201
420, -13108, -2479, 385, -236, -1787, 855
430, -13757, -2347, 356, -409, -1578, 735
440, -14469, -2156, 631, -632, -1372, 633
450, -15528, -2088, 1482, -1246, 368, 605
460, -16033, -2519, 1769, -1542, 1623, 517
470, -16692, -3041, 2016, -1777, 2283, 303
480, -17601, -3204, 2317, -1826, 2121, 22
490, -19941, -2703, 2437, -818, 920, -265
500, -21253, -3063, 1609, 181, 1360, -314
510, -22121, -3449, 616, 893, 1963, -262
520, -20431, -2695, 1367, -578, 1640, 105
530, -19934, -1599, 2532, -2225, 983, -184
540, -19708, -200, 3740, -3927, 149, -371
550, -19696, 797, 4851, -5347, -933, -436
560, -20063, 770, 5640, -6804, -3895, -926
570, -20800, -525, 5114, -7155, -5410, -1425
580, -21548, -4307, 3047, -6370, -5346, -2356
590, -21328, -6277, 1702, -4465, -3958, -2962
600, -20696, -7403, -249, -1629, -1516, -3211
610, -17292, -6996, -5139, 3173, 4154, -1459
620, -15292, -6369, -7052, 4046, 5351, -526
630, -13327, -5810, -8409, 4114, 5476, 260
640, -11151, -5000, -9206, 2536, 5460, 85
650, -11500, -4259, -8671, 1542, 5567, -536
660, -11686, -3720, -8247, 890, 4888, -527
670, -13995, -3223, -7884, -456, 2350, -696
680, -16605, -2969, -7470, -1841, 1039, -1352
690, -18921, -2445, -6299, -3488, -413, -1769
700, -20389, -1751, -4366, -4611, -1617, -1873
710, -19462, -1879, -780, -3493, -1805, -881
