timestamp, ax, ay, az, gx, gy, gz
0,-11094,2610,3074,-3728,23114,-27910
10,-15895,1166,5884,-7855,22097,-26547
20,-17092,-230,6384,-8258,19547,-23318
30,-17095,-1618,5715,-7742,15668,-19347
40,-16434,-5160,5954,-5466,4999,-11226
50,-14207,-5929,4609,-3449,-988,-7866
60,-13284,-6370,2763,-2213,-4439,-4957
70,-11210,-6411,2065,-2223,-4578,-1769
80,-8702,-7128,2826,-4296,-2294,509
90,-10048,-7619,4359,-4963,-892,533
100,-11070,-7620,5387,-4906,-158,1523
110,-12509,-5868,4915,-2697,137,4968
120,-13000,-5716,5101,-2234,-1374,4534
130,-12543,-5520,5777,-719,-3794,4199
140,-12460,-5579,7089,-68,-3040,4465
150,-11407,-6074,8842,280,-1656,4816
160,-12845,-6729,8397,381,3434,5798
170,-13411,-7307,7450,-1758,3728,6850
180,-13245,-7164,6915,-3518,3840,7730
190,-15838,-6150,6271,-3291,4143,4961
200,-17416,-5491,6254,-895,448,1815
210,-20283,-5996,7079,190,-2904,-1309
220,-18143,-6494,8120,879,-3376,-1951
230,-17978,-7825,10044,-50,2281,-1936
240,-18327,-8288,11704,-980,4087,-1197
250,-19009,-8001,12814,-1593,2061,1326
260,-19728,-7746,12408,-1489,-519,2654
270,-20887,-8429,11785,-1826,-4390,3287
280,-21197,-8310,10473,-2341,-9374,3123
290,-21629,-6308,7592,-2541,-12147,909
300,-21013,-4525,5915,-3188,-10013,938
310,-21085,-4061,5279,-4992,-8918,321
320,-17841,-3231,3970,-6687,-8016,1405
330,-15712,-2870,4675,-7073,-8516,1416
340,-13886,-2068,4843,-6943,-8237,957
350,-15545,-180,4202,-6328,-6577,49
360,-17750,-95,3945,-5711,-999,657
370,-18896,-128,3733,-6343,824,943
380,-20459,-911,4166,-6614,2541,604
390,-22191,-1988,5387,-5387,4029,-2711
400,-21092,-2708,6322,-4209,4186,-2847
410,-17443,-3056,6203,-3393,4053,-2493
420,-16450,-3367,6797,-3334,3717,-2884
430,-15553,-2431,7422,-3830,1585,-2621
440,-14544,-2394,9604,-4929,-28,-1420
450,-15043,-2787,11165,-4674,-1555,-654
460,-13472,-3001,7746,-990,-4470,647
470,-13598,-3463,6538,-285,-4293,479
480,-12334,-5126,5317,947,-5752,-958
490,-12074,-5500,4689,1876,-6210,-1739
500,-11673,-5650,4381,2477,-5703,-1978
510,-12265,-6413,5854,2849,-5594,-2289
520,-13040,-5894,6320,3800,-6152,-2418
530,-13091,-5056,7334,4079,-7674,-3379
540,-12580,-4220,8188,4259,-8627,-4710
550,-10041,-3358,8700,4733,-6876,-7151
560,-9072,-3011,8218,4473,-4544,-7818
570,-8937,-2923,7990,3678,-1799,-7822
580,-8346,-2989,6845,2890,44,-7626
590,-7484,-3536,5396,3458,4298,-6950
600,-4938,-2988,4443,4584,6169,-7127
610,-7555,-3031,3799,5360,6700,-9781
620,-12488,-6651,7242,5041,3882,-13543
630,-8981,-4864,5019,5858,-102,-14964
640,-8092,-5190,6727,5498,433,-14410
650,-7430,-4592,6221,7907,-971,-12912
660,-3215,-3614,4696,11393,-3937,-10344
670,-2908,-2899,8615,5976,-1179,-7655
680,-3894,-4628,13761,-3521,1584,-4373
690,-6655,-8978,13683,-8982,5477,-2642
700,-10365,-10169,11384,-7566,10496,-5685
710,-15671,-9736,8690,-5510,13761,-10167
720,-21271,-9530,8138,-1080,11665,-6053
730,-15786,-9498,9644,135,6525,70
740,-11379,-9979,10963,625,3568,3637
750,-11063,-13074,12687,-410,4285,4826
760,-12071,-16568,13923,-5109,7060,3910
770,-11087,-20065,14882,-6006,6259,4316
780,-10747,-22841,16113,-4555,7610,3442
790,-20437,-18583,11671,4552,8994,-368
800,-26375,-14666,5958,8181,4567,-1211
810,-25653,-9894,861,9103,-1047,79
820,-23678,-1411,-666,4969,-3782,2513
830,-23807,1382,1494,2518,-1179,2393
840,-19805,2824,4460,1227,895,2677
850,-14206,1904,5196,1246,2374,2416
860,-14627,-3653,1919,254,3161,757
870,-14761,-5052,1356,-558,4133,2153
880,-14556,-6205,631,-321,4181,3023
890,-13379,-8881,398,1270,1608,2511
900,-12311,-9237,-1964,2085,911,1569
910,-15032,-7488,-5287,1218,2370,758
920,-16783,-8317,-4176,-1286,5485,-15
930,-13799,-3167,4078,2812,4332,-3544
940,-14265,-2514,3847,2058,4447,-2647
950,-13377,-2721,3775,-324,4165,-1954
960,-8851,-1555,2525,-964,4110,-1267
970,-10874,-2896,2949,-2974,7504,64
980,-11190,-4131,2812,-5396,8832,1447
990,-10696,-5339,3123,-5523,7520,1248
1000,-10237,-6459,1782,-4572,6062,1305
1010,-12200,-7983,-134,-3588,4821,1391
1020,-12011,-8967,818,-3902,5346,1343
1030,-12197,-9949,1368,-3130,5218,816
1040,-11937,-9682,998,-1951,4788,731
1050,-10290,-8841,1365,-1359,4288,2231
1060,-12673,-7877,1319,-933,4989,2094
1070,-14303,-8311,1379,-821,4098,1999
1080,-13935,-8415,1311,-205,1218,1053
1090,-13364,-6956,808,158,674,963
1100,-13436,-6665,550,-150,356,1108
1110,-13456,-6025,-27,-317,167,1607
1120,-13282,-5879,976,-1108,242,2474
1130,-13350,-6556,2013,-1574,420,2693
1140,-13180,-7600,3253,-1733,433,2734
1150,-14321,-8056,3891,-1517,449,2407
1160,-14811,-9840,3966,-1779,547,2967
1170,-15594,-11235,3225,-1885,-103,3005
1180,-15297,-12228,270,-1120,-2056,2543
1190,-15351,-12001,-720,-539,-2287,1706
1200,-15344,-11916,-1289,-52,-2317,815
1210,-14974,-12536,-779,64,-2284,13
1220,-15384,-13439,1877,-148,-891,-1148
1230,-15241,-12829,2890,320,-1380,-1805
1240,-15481,-12267,3838,697,-2245,-2477
1250,-17147,-11827,5247,666,-3124,-2762
1260,-18212,-11507,4851,583,-2405,-2147
1270,-20476,-11141,3578,285,-1591,-2029
1280,-22753,-10299,2299,-239,-1698,-2581
1290,-20830,-9823,988,-348,-4166,-3880
1300,-18700,-8871,83,-18,-5365,-4518
1310,-17925,-7871,-412,744,-4907,-4798
1320,-17874,-5532,-1189,2106,-4211,-4040
1330,-17488,-4102,-1561,2312,-5707,-3722
1340,-15731,-3456,-1167,2262,-7609,-3563
1350,-15468,-2527,-933,4035,-9290,-3816
1360,-15882,-2927,-1365,5090,-9096,-3959
1370,-16286,-3257,-1884,5569,-7286,-4095
1380,-17475,-4381,-1973,5263,-4730,-4405
1390,-19940,-5883,-949,3621,-1418,-3723
1400,-10954,-6574,4403,2419,-2194,-2522
1410,-16313,-7195,6008,2223,2609,-1546
1420,-17536,-9264,8326,2939,-934,-861
1430,-18473,-9435,9581,5022,-4628,1054
1440,-16675,-7120,7492,7481,-5524,2637
1450,-14320,-5128,3506,4543,-992,1493
1460,-13841,-6398,3327,1980,1457,439
1470,-8089,-8003,5179,1355,2246,-366
1480,-11226,-7945,2722,2538,3711,-164
1490,-11966,-7490,2972,2666,3624,2753
1500,-13046,-7703,3240,1028,172,1417
1510,-12905,-7230,3421,838,-2102,-260
1520,-10976,-4703,2348,2777,118,-645
1530,-9453,-1941,3180,3869,1224,-728
1540,-9874,-2776,6460,3817,4910,699
1550,-11187,-2766,1177,4019,3948,87
1560,-9154,-1884,2779,1915,1035,471
1570,-8116,-1209,3265,998,737,836
1580,-9691,-2579,3986,-680,2226,1169
1590,-10108,-4296,4772,-628,909,-229
1600,-9512,-4554,5077,831,-566,-704
1610,-11636,-4125,3542,2933,-1293,-1287
1620,-11329,-5725,4560,1889,-3422,-2217
1630,-9815,-6284,5448,1495,-3600,-2713
1640,-10758,-5112,4502,3354,-1803,-5137
1650,-11645,-4568,3712,4271,-2593,-5813
1660,-10010,-7489,5808,2678,-4490,-5263
1670,-10128,-10179,8202,49,-3196,-3484
1680,-14204,-10804,8999,-788,-422,-1492
1690,-14531,-10164,8220,7,-1515,-2049
1700,-14417,-9688,7009,855,-1739,-2711
1710,-17784,-8326,1597,672,153,-2435
1720,-17893,-8083,1225,-1349,941,-2071
1730,-18345,-9223,6269,-3654,-935,-2561
1740,-18039,-10885,10166,-3415,-849,-1470
1750,-16391,-16485,14852,-1654,-1936,1784
1760,-16189,-18511,15003,-542,-1792,1281
1770,-16597,-19757,14603,301,-1848,67
1780,-19506,-18909,13696,2928,-3270,138
1790,-20409,-16192,11341,4944,-4907,680
1800,-20999,-12580,6062,6047,-7188,910
1810,-19215,-6459,-318,1386,-7250,2975
1820,-17605,-3146,-1394,-1578,-4932,3791
1830,-17954,-1106,1486,-4320,-2439,3994
1840,-13215,-385,1177,-2180,-2931,2674
1850,-12973,-2577,3530,-2301,415,2716
1860,-14150,-6464,646,-1228,3310,1491
1870,-15838,-7445,41,-252,6483,-62
1880,-13968,-6962,-3125,250,8028,-1059
1890,-15448,-7316,-3768,-1554,12350,-1383
1900,-15478,-8748,-2042,-4067,15610,-1279
1910,-16242,-9389,-432,-3182,13051,-1891
1920,-14885,-7280,349,-1870,9028,-1920
1930,-17000,-6191,314,-252,5995,-2014
1940,-14066,-4721,4,-324,-3603,-80
1950,-14565,-2271,2673,-1340,-3122,-242
1960,-12232,-624,4797,-1805,-2073,471
1970,-10307,1012,5504,-597,1236,-2
1980,-10226,-325,4184,-636,3510,-601
1990,-10950,-2122,3033,-1566,4521,-1106
2000,-11359,-3194,853,-2256,4559,-1518
2010,-12370,-5917,-547,-3545,5693,-1500
2020,-12771,-6632,-1141,-3616,6746,-1000
2030,-12584,-7318,-1638,-3334,7912,-346
2040,-12033,-8157,-1958,-2836,8383,-434
2050,-12740,-8799,-3651,-984,9113,-1756
2060,-11635,-9438,-2148,-1625,9437,-1054
2070,-12885,-10541,417,-2780,7288,322
2080,-12941,-9670,189,-2713,6033,779
2090,-13206,-8712,128,-3216,5832,1488
2100,-14016,-7456,-157,-3420,5596,1881
2110,-12356,-5635,-1982,-2451,1190,2774
2120,-12376,-6056,-1292,-2839,-2406,2875
