timestamp, ax, ay, az, gx, gy, gz
0, -833, -12064, 9859, 930, -2498, -404
10, -716, -12066, 9828, 888, -2484, -302
20, -780, -11979, 9673, 913, -2614, -186
30, -864, -11950, 9737, 946, -2773, -212
40, -829, -11725, 9620, 1066, -3041, -171
50, -785, -11224, 9212, 1112, -3345, 97
60, -757, -10999, 9063, 957, -3461, 270
70, -713, -10900, 8895, 807, -3584, 457
80, -464, -10594, 8478, 564, -3990, 852
90, -314, -10601, 8217, 428, -4217, 1063
100, -229, -10672, 8065, 220, -4379, 1298
110, -126, -11031, 7969, -122, -4516, 1695
120, -205, -11770, 7828, 272, -5354, 2070
130, -278, -11750, 7696, 545, -5614, 2098
140, -670, -11647, 7408, 794, -5802, 2155
150, -782, -11549, 7093, 1268, -5999, 2317
160, -969, -11405, 6745, 1328, -5987, 2376
170, -1313, -11248, 6527, 1156, -5944, 2302
180, -1952, -10754, 6058, 482, -5744, 1983
190, -2187, -10473, 5941, 98, -5691, 1616
200, -2350, -10035, 5788, -147, -5758, 1157
210, -2579, -9294, 5493, 47, -6512, 179
220, -2667, -8886, 5033, 681, -7227, -290
230, -2758, -8444, 4285, 1363, -7896, -726
240, -3106, -7687, 3159, 1780, -8308, -1382
250, -3641, -7458, 2619, 1507, -8091, -1595
260, -4240, -7489, 2483, 929, -7720, -1797
270, -5527, -7897, 2968, -121, -7454, -2603
280, -6026, -8215, 3156, 291, -7668, -3048
290, -6442, -8282, 3003, 1250, -8138, -3741
300, -6767, -7985, 2568, 2333, -8779, -4755
310, -6825, -7115, 1257, 3714, -9393, -6764
320, -6780, -6463, 628, 4102, -9201, -7723
330, -6703, -5705, 88, 4393, -8872, -8750
340, -5661, -4922, -328, 5149, -7821, -11029
350, -4994, -4359, -249, 6307, -7456, -12833
360, -4299, -3700, -546, 8388, -7358, -14704
370, -2901, -2864, -716, 11460, -7133, -16082
380, 251, 665, -2041, 18820, -5266, -17732
390, 1316, 2003, -2060, 22079, -3642, -17971
400, 1083, 3400, -2203, 24036, -1484, -17874
410, -668, 2982, 3945, 22434, 5078, -16650
420, -1047, 1637, 9548, 20694, 9784, -15577
430, -1761, 1461, 16065, 19071, 14408, -14850
440, -2467, 2834, 21886, 17132, 17313, -14286
450, 2225, 3963, 31221, 11276, 18061, -10044
460, 3274, 3448, 32764, 8356, 16468, -7532
470, 5026, 1552, 32764, 7925, 12166, -5173
480, 10235, -2247, 32700, 14877, -695, -1671
490, 13707, -3169, 28310, 17491, -5511, -1512
500, 16425, -1734, 23701, 17345, -7616, -1783
510, 18402, -727, 16453, 10400, -5732, 1965
520, 18260, -2208, 14730, 5954, -3766, 5094
530, 18857, -4277, 14984, 3195, -2061, 7528
540, 28882, -7890, 28119, 2931, -1471, 8004
550, 32748, 635, 32764, 3483, -4013, 7813
560, 32748, -8758, 32764, 17276, -13467, -104
570, 32748, 28346, 32764, 30406, -8186, -6675
580, 23876, 27332, 32764, -20801, 31747, 6923
590, -32764, 31086, 32764, -32091, 12286, 10529
600, -32764, 32748, -32748, -32766, -25098, 10402
610, 32748, -32764, -32691, 23377, -7493, 18897
