timestamp, ax, ay, az, gx, gy, gz
0, -9028, 10814, 8482, 19, -629, 3
10, -8912, 10724, 8422, 20, -653, -15
20, -8791, 10605, 8403, 8, -691, -39
30, -8731, 10507, 8225, 87, -668, -124
40, -8657, 10462, 8272, 114, -741, -165
50, -8670, 10418, 8277, 117, -703, -186
60, -7067, 8823, 6640, 250, -1308, -731
70, -6074, 7799, 5936, -58, -1782, -1050
80, -4647, 6052, 4816, -437, -2797, -2034
90, -4172, 5447, 4221, -570, -3236, -2405
100, -3727, 4883, 3838, -844, -3826, -2735
110, -3234, 4327, 3438, -1157, -4546, -3088
120, -2118, 2956, 2089, -2076, -6336, -3975
130, -1363, 2012, 916, -2929, -7512, -4472
140, -414, 849, -445, -4252, -9008, -5016
150, 1444, -1086, -543, -5904, -12762, -6573
160, 1628, -1680, 594, -6909, -14216, -7607
170, 1565, -1599, 1256, -5372, -14445, -8246
180, 1393, -979, 1290, -3427, -12736, -8208
190, 189, 22, 1123, -1818, -5770, -6958
200, -563, 59, 1117, -1992, -3600, -6052
210, -1023, -54, 1180, -2456, -2486, -5192
220, -1122, -43, 1408, -3142, -2300, -4133
230, -515, -2, 1223, -3108, -2403, -3716
240, 31, 100, 1012, -3019, -2229, -3451
250, -63, 364, 900, -3059, -2084, -3692
260, -147, 391, 839, -3147, -2274, -3876
270, -193, 271, 854, -3312, -2597, -4068
280, -278, 153, 1072, -3462, -2952, -4267
290, -393, 94, 1299, -3553, -2996, -4336
300, -413, 168, 1217, -3644, -2837, -4293
310, -290, 201, 1169, -3899, -2728, -4315
320, -331, 198, 1245, -4006, -2882, -4446
330, -444, 196, 1251, -4076, -3082, -4583
340, -454, 156, 1318, -4347, -3327, -4652
350, -476, 133, 1424, -4525, -3309, -4635
360, -524, 173, 1428, -4629, -3273, -4617
370, -450, 218, 1389, -4933, -3400, -4660
380, -433, 239, 1464, -5134, -3446, -4694
390, -440, 231, 1559, -5352, -3380, -4743
400, -429, 227, 1568, -5546, -3348, -4840
410, -459, 279, 1702, -5925, -3127, -5061
420, -420, 259, 1707, -6111, -2955, -5204
430, -468, 286, 1747, -6323, -2725, -5413
440, -599, 280, 1794, -6493, -2531, -5632
450, -675, 271, 1921, -6846, -2419, -5935
460, -770, 246, 2070, -7012, -2284, -6146
470, -1004, 405, 2559, -7212, -2239, -6377
480, -32764, 32748, 32764, -29525, -18937, -26766
490, -32764, 4453, 32764, -30689, -31675, -23623
500, -27346, -16835, 32764, -9884, -32767, -1073
510, 23065, -9249, -16528, 20767, -32548, 13109
520, 11659, 6913, 1653, -8310, 17447, -2461
530, 983, 4279, 8237, -7545, 16735, -7518
540, -194, -541, 2519, 5214, 8232, -3962
550, -549, -28, 534, 4074, 9814, -3203
560, -1741, 1799, 104, -29, 9972, -2562
570, -371, 4783, 4650, -7702, 5179, -2177
580, -296, 3417, 7879, -9265, 4938, -4051
590, -3406, 770, 10955, -10390, 7198, -5756
600, -6824, -1654, 14261, -11034, 9341, -5241
610, -10952, -3098, 18944, -4301, 1124, -463
620, -9655, -3343, 15421, 2573, -4301, 1980
630, -9654, -3608, 14006, 6729, -5584, 3215
640, -9556, -1323, 16457, 8889, -5199, 3969
650, -9016, 782, 17988, 8725, -6509, 3746
660, -8006, 2724, 18857, 7943, -7619, 3080
670, -6597, 4034, 19059, 6724, -8084, 2067
680, -3478, 4647, 17397, 4197, -7029, 92
690, -2662, 4455, 16188, 2661, -4862, -523
700, -2252, 4116, 15381, 837, -1822, -789
710, -4211, 2317, 15986, -1421, 2938, -1122
720, -5601, 1553, 16962, -1433, 4271, -1287
730, -6760, 547, 17601, -828, 4964, -1080
740, -6936, 314, 17311, 47, 5185, -461
750, -7235, 1857, 16321, 1067, 5184, 258
760, -7426, 2176, 14724, 1446, 5103, 119
770, -7529, 2311, 13654, 1374, 4327, -79
780, -6946, 2384, 13699, 683, 1306, -165
790, -6667, 2261, 14242, 408, 6, -272
800, -7037, 1835, 15139, 134, -484, -412
810, -7512, 1593, 14916, -131, -125, -553
820, -7744, 1419, 14793, -219, -499, -565
830, -7380, 1462, 15195, -259, -1334, -573
840, -6364, 1817, 15976, 85, -2632, -382
850, -6198, 2093, 16081, 324, -2605, -205
860, -6158, 2365, 16031, 587, -2328, -21
870, -6033, 2645, 15710, 927, -1833, 105
880, -5959, 2425, 15680, 927, -1606, 58
890, -6064, 2121, 15805, 845, -1207, -27
900, -6566, 2014, 15896, 714, -551, -148
910, -6616, 1875, 15173, 661, 448, -265
920, -5816, 1632, 15124, 449, 302, -291
930, -5060, 1335, 15436, 90, -60, -370
940, -5223, 1358, 16127, -249, -560, -519
950, -6726, 1807, 15423, -62, -46, -529
960, -7794, 2109, 14809, 130, 312, -497
970, -6899, 2029, 15688, 197, 30, -338
980, -5896, 1936, 15966, 423, -804, -220
990, -5748, 2056, 15842, 612, -671, -129
